species,pet_id,pet_name,stage,feed_value_wyz,boarding_food,food_per_feed
种子类,24799,绅士南瓜大丸子,7,8200,高级宠物食物,4
种子类,24797,美若天仙菜头皇后,7,8200,高级宠物食物,4
种子类,24809,花之精灵妖精,7,8200,高级宠物食物,4
种子类,26576,花之精灵妖精.G,7,33000,,
种子类,24808,训练教官豌豆,7,8200,高级宠物食物,4
种子类,24801,酷哥南瓜头,7,8200,高级宠物食物,4
咕咕类,99,咕咕蛋,1,120,一般宠物食物,2
咕咕类,100,咕咕宝宝,2,240,一般宠物食物,2
咕咕类,109,不平凡的咕咕,3,480,一般宠物食物,2
咕咕类,108,健康的咕咕,3,480,一般宠物食物,2
咕咕类,106,傻瓜咕咕,3,480,一般宠物食物,2
咕咕类,107,博士咕咕,3,480,一般宠物食物,2
咕咕类,116,勇者咕咕,4,960,营养满分宠物食物,1
咕咕类,111,小丑咕咕,4,960,营养满分宠物食物,1
咕咕类,118,尼欧咕咕,4,960,营养满分宠物食物,1
咕咕类,117,战士咕咕,4,960,营养满分宠物食物,1
咕咕类,113,法师咕咕,4,960,营养满分宠物食物,1
咕咕类,114,祭司咕咕,4,960,营养满分宠物食物,1
咕咕类,110,鸡,4,960,营养满分宠物食物,1
咕咕类,4079,侠客咕咕,5,5000,营养满分宠物食物,1
咕咕类,4077,修道士咕咕,5,5000,营养满分宠物食物,1
咕咕类,4078,剑圣咕咕,5,5000,营养满分宠物食物,1
咕咕类,4076,大法师咕咕,5,5000,营养满分宠物食物,1
咕咕类,4080,森巴鸡,5,5000,营养满分宠物食物,1
咕咕类,120,火鸡女王,5,5000,营养满分宠物食物,1
咕咕类,119,火鸡王,5,5000,营养满分宠物食物,1
咕咕类,4050,真火鸡女王,5,5000,营养满分宠物食物,1
咕咕类,4049,真火鸡王,5,5000,营养满分宠物食物,1
咕咕类,4074,艺术家咕咕,5,5000,营养满分宠物食物,1
咕咕类,4075,超级咕咕,5,5000,营养满分宠物食物,1
咕咕类,23220,[别的世界的]剑圣咕咕,6,5200,高级宠物食物,3
咕咕类,23222,[别的世界的]超级咕咕,6,5200,高级宠物食物,3
咕咕类,23221,大将军咕咕,6,5200,高级宠物食物,3
咕咕类,23225,燃烧的火鸡女王,6,5200,高级宠物食物,3
咕咕类,23224,燃烧的火鸡王,6,5200,高级宠物食物,3
咕咕类,24757,真燃烧的火鸡女王,6,5200,高级宠物食物,3
咕咕类,24756,真燃烧的火鸡王,6,5200,高级宠物食物,3
咕咕类,23223,胖鸡,6,5200,高级宠物食物,3
咕咕类,23219,贤者咕咕,6,5200,高级宠物食物,3
咕咕类,24816,优雅咕咕,7,10200,高级宠物食物,4
咕咕类,24811,剑皇咕咕,7,10200,高级宠物食物,4
咕咕类,24812,大师超级咕咕,7,10200,高级宠物食物,4
咕咕类,24813,战场将领咕咕,7,10200,高级宠物食物,4
咕咕类,24819,战鸡联盟女领主,7,10200,高级宠物食物,4
咕咕类,26580,战鸡联盟女领主.G,7,33000,,
咕咕类,24814,战鸡联盟领主,7,10200,高级宠物食物,4
咕咕类,26578,战鸡联盟领主.G,7,33000,,
咕咕类,24821,扛坝子咕咕,7,10200,高级宠物食物,4
咕咕类,24818,护士咕咕,7,10200,高级宠物食物,4
咕咕类,24817,白魔法师咕咕,7,10200,高级宠物食物,4
咕咕类,24820,真战鸡联盟女领主,7,10200,高级宠物食物,4
咕咕类,26581,真战鸡联盟女领主.G,7,33000,,
咕咕类,24815,真战鸡联盟领主,7,10200,高级宠物食物,4
咕咕类,26579,真战鸡联盟领主.G,7,33000,,
鸟蛋类,556,鸟蛋,1,240,一般宠物食物,2
鸟蛋类,557,伸爪鸟蛋,2,480,一般宠物食物,2
鸟蛋类,559,羽毛蛋,3,960,一般宠物食物,2
鸟蛋类,558,蝙蝠翅膀蛋,3,960,一般宠物食物,2
鸟蛋类,564,乌鸦,4,1920,营养满分宠物食物,1
鸟蛋类,561,吸血蝙蝠,4,1920,营养满分宠物食物,1
鸟蛋类,563,水龙兽,4,1920,营养满分宠物食物,1
鸟蛋类,582,猫头鹰,4,1920,营养满分宠物食物,1
鸟蛋类,583,老鹰,4,1920,营养满分宠物食物,1
鸟蛋类,560,蝙蝠小朋友,4,1920,营养满分宠物食物,1
鸟蛋类,562,蝙蝠猪,4,1920,营养满分宠物食物,1
鸟蛋类,565,鸳鸯,4,1920,营养满分宠物食物,1
鸟蛋类,584,巴哈姆特,5,5000,营养满分宠物食物,1
鸟蛋类,4083,幸运蝙蝠猪,5,5000,营养满分宠物食物,1
鸟蛋类,4087,幼龙,5,5000,营养满分宠物食物,1
鸟蛋类,4084,庞克乌鸦,5,5000,营养满分宠物食物,1
鸟蛋类,4082,德古拉伯爵,5,5000,营养满分宠物食物,1
鸟蛋类,4088,森德波特,5,5000,营养满分宠物食物,1
鸟蛋类,4085,比翼鸳鸯,5,5000,营养满分宠物食物,1
鸟蛋类,4081,热血青年蝙蝠,5,5000,营养满分宠物食物,1
鸟蛋类,4086,猫头鹰博士,5,5000,营养满分宠物食物,1
鸟蛋类,4059,真巴哈姆特,5,5000,营养满分宠物食物,1
鸟蛋类,4060,真菲尼克斯,5,5000,营养满分宠物食物,1
鸟蛋类,585,菲尼克斯,5,5000,营养满分宠物食物,1
鸟蛋类,23237,Dr.Boo,6,5200,高级宠物食物,3
鸟蛋类,23242,凤凰,6,5200,高级宠物食物,3
鸟蛋类,23238,帕兹资,6,5200,高级宠物食物,3
鸟蛋类,23236,泡泡龙,6,5200,高级宠物食物,3
鸟蛋类,23234,热血侦探蝙蝠,6,5200,高级宠物食物,3
鸟蛋类,23239,百年仔,6,5200,高级宠物食物,3
鸟蛋类,24760,真凤凰,6,5200,高级宠物食物,3
鸟蛋类,24758,真米鲁,6,5200,高级宠物食物,3
鸟蛋类,24761,真蔚蓝凤凰,6,5200,高级宠物食物,3
鸟蛋类,24759,真蔚蓝米鲁,6,5200,高级宠物食物,3
鸟蛋类,23240,米鲁,6,5200,高级宠物食物,3
鸟蛋类,23243,蔚蓝凤凰,6,5200,高级宠物食物,3
鸟蛋类,23241,蔚蓝米鲁,6,5200,高级宠物食物,3
鸟蛋类,23235,雷文乌鸦,6,5200,高级宠物食物,3
鸟蛋类,24830,圣光菲尼克斯,7,12200,高级宠物食物,4
鸟蛋类,26584,圣光菲尼克斯.G,7,33000,,
鸟蛋类,24825,巴哈姆特女帝,7,12200,高级宠物食物,4
鸟蛋类,26582,巴哈姆特女帝.G,7,33000,,
鸟蛋类,24823,德古拉公爵,7,12200,高级宠物食物,4
鸟蛋类,24828,新婚鸳鸯,7,12200,高级宠物食物,4
鸟蛋类,24827,朱鹭,7,12200,高级宠物食物,4
鸟蛋类,24822,热血天才蝙蝠,7,12200,高级宠物食物,4
鸟蛋类,24829,状元郎猫头鹰博士,7,12200,高级宠物食物,4
鸟蛋类,24831,真圣光菲尼克斯,7,12200,高级宠物食物,4
鸟蛋类,26585,真圣光菲尼克斯.G,7,33000,,
鸟蛋类,24826,真巴哈姆特女帝,7,12200,高级宠物食物,4
鸟蛋类,26583,真巴哈姆特女帝.G,7,33000,,
鸟蛋类,24824,超福气幸运蝙蝠猪,7,12200,高级宠物食物,4
鸟蛋类,24832,金光闪闪幼龙,7,12200,高级宠物食物,4
鸟蛋类,24833,闪光森德波特,7,12200,高级宠物食物,4
天蛋类,121,天上之蛋,1,60,一般宠物食物,2
天蛋类,122,小婴儿,2,120,一般宠物食物,2
天蛋类,123,少女,3,240,一般宠物食物,2
天蛋类,124,淑女,4,480,营养满分宠物食物,1
天蛋类,127,女武神,5,5000,营养满分宠物食物,1
天蛋类,4053,真女武神,5,5000,营养满分宠物食物,1
天蛋类,23218,恶魔女武神,6,5200,高级宠物食物,3
天蛋类,23216,白骑士女武神,6,5200,高级宠物食物,3
天蛋类,23217,黑骑士女武神,6,5200,高级宠物食物,3
天蛋类,24834,战场女武神,7,11200,高级宠物食物,4
天蛋类,26512,战场女武神(新服),7,11200,高级宠物食物,4
天蛋类,26586,战场女武神.G,7,33000,,
天蛋类,24835,真战场女武神,7,11200,高级宠物食物,4
天蛋类,26513,真战场女武神(新服),7,11200,高级宠物食物,4
天蛋类,26587,真战场女武神.G,7,33000,,
异色种子,11319,绿色种子,1,40,一般宠物食物,2
异色种子,11320,粉红发芽,2,70,一般宠物食物,2
异色种子,11323,朱黄色的花苞,3,140,一般宠物食物,2
异色种子,11324,粉红豆荚皮,3,140,一般宠物食物,2
异色种子,11321,紫色头的菜头弟弟,3,140,一般宠物食物,2
异色种子,11322,黄色小南瓜,3,140,一般宠物食物,2
异色种子,11335,小黑勇士碗豆,4,270,营养满分宠物食物,1
异色种子,11333,小黑碗豆,4,270,营养满分宠物食物,1
异色种子,11334,小黑碗豆辣妹,4,270,营养满分宠物食物,1
异色种子,11330,粉红色的南瓜宝石,4,270,营养满分宠物食物,1
异色种子,11332,红色向日葵,4,270,营养满分宠物食物,1
异色种子,11327,绿色勇士菜头,4,270,营养满分宠物食物,1
异色种子,11326,绿色菜头辣妹,4,270,营养满分宠物食物,1
异色种子,11325,蓝色菜头王,4,270,营养满分宠物食物,1
异色种子,11328,蓝色衣裳的明星南瓜,4,270,营养满分宠物食物,1
异色种子,11331,黄玫瑰,4,270,营养满分宠物食物,1
异色种子,11329,黑色南瓜小丸子,4,270,营养满分宠物食物,1
异色种子,11343,侏罗纪的黑蚊子,5,5000,营养满分宠物食物,1
异色种子,11350,大号勇士黑碗豆,5,5000,营养满分宠物食物,1
异色种子,11345,太阳的食人花,5,5000,营养满分宠物食物,1
异色种子,11347,真蓝色蔬果女妖精,5,5000,营养满分宠物食物,1
异色种子,11340,真蓝色蔬果男妖精,5,5000,营养满分宠物食物,1
异色种子,11338,紫色大号勇士菜头,5,5000,营养满分宠物食物,1
异色种子,11341,紫色的南瓜大丸子,5,5000,营养满分宠物食物,1
异色种子,11342,紫色衣裳的南瓜头,5,5000,营养满分宠物食物,1
异色种子,11337,绿色优雅的菜头辣妹,5,5000,营养满分宠物食物,1
异色种子,11336,蓝色的菜头大魔王,5,5000,营养满分宠物食物,1
异色种子,11346,蓝色蔬果女妖精,5,5000,营养满分宠物食物,1
异色种子,11339,蓝色蔬果男妖精,5,5000,营养满分宠物食物,1
异色种子,11344,黄色公主玫瑰,5,5000,营养满分宠物食物,1
异色种子,11349,黑色优雅豌豆辣妹,5,5000,营养满分宠物食物,1
异色种子,11348,黑色豪野豌豆,5,5000,营养满分宠物食物,1
异色咕咕,11351,粉红咕咕蛋,1,140,一般宠物食物,2
异色咕咕,11352,粉红咕咕宝宝,2,270,一般宠物食物,2
异色咕咕,11356,不平凡的粉红咕咕,3,530,一般宠物食物,2
异色咕咕,11355,健康粉红咕咕,3,530,一般宠物食物,2
异色咕咕,11353,傻瓜粉红咕咕,3,530,一般宠物食物,2
异色咕咕,11354,博士粉红咕咕,3,530,一般宠物食物,2
异色咕咕,11357,小丑粉红咕咕,4,1060,营养满分宠物食物,1
异色咕咕,11362,粉红勇者咕咕,4,1060,营养满分宠物食物,1
异色咕咕,11363,粉红尼欧咕咕,4,1060,营养满分宠物食物,1
异色咕咕,11360,粉红战士咕咕,4,1060,营养满分宠物食物,1
异色咕咕,11358,粉红法师咕咕,4,1060,营养满分宠物食物,1
异色咕咕,11359,粉红祭司咕咕,4,1060,营养满分宠物食物,1
异色咕咕,11361,黑鸡,4,1060,营养满分宠物食物,1
异色咕咕,11369,侠客粉红咕咕,5,5000,营养满分宠物食物,1
异色咕咕,11374,真绿色火鸡女王,5,5000,营养满分宠物食物,1
异色咕咕,11372,真绿色火鸡王,5,5000,营养满分宠物食物,1
异色咕咕,11366,粉红修道士咕咕,5,5000,营养满分宠物食物,1
异色咕咕,11367,粉红剑圣咕咕,5,5000,营养满分宠物食物,1
异色咕咕,11365,粉红大法师咕咕,5,5000,营养满分宠物食物,1
异色咕咕,11364,粉红艺术家咕咕,5,5000,营养满分宠物食物,1
异色咕咕,11368,粉红超级咕咕,5,5000,营养满分宠物食物,1
异色咕咕,11370,红衣森巴鸡,5,5000,营养满分宠物食物,1
异色咕咕,11373,绿色火鸡女王,5,5000,营养满分宠物食物,1
异色咕咕,11371,绿色火鸡王,5,5000,营养满分宠物食物,1
异色鸟蛋,11375,粉红鸟蛋,1,270,一般宠物食物,2
异色鸟蛋,11376,粉红伸爪鸟蛋,2,530,一般宠物食物,2
异色鸟蛋,11378,粉红羽毛蛋,3,1060,一般宠物食物,2
异色鸟蛋,11377,粉红蝙蝠翅膀蛋,3,1060,一般宠物食物,2
异色鸟蛋,11381,小黑蝙蝠猪,4,2120,营养满分宠物食物,1
异色鸟蛋,11385,蓝色猫头鹰,4,2120,营养满分宠物食物,1
异色鸟蛋,11386,蓝色老鹰,4,2120,营养满分宠物食物,1
异色鸟蛋,11383,褐色乌鸦,4,2120,营养满分宠物食物,1
异色鸟蛋,11384,褐色鸳鸯,4,2120,营养满分宠物食物,1
异色鸟蛋,11382,黑水龙兽,4,2120,营养满分宠物食物,1
异色鸟蛋,11380,黑色吸血蝙蝠,4,2120,营养满分宠物食物,1
异色鸟蛋,11379,黑蝙蝠小朋友,4,2120,营养满分宠物食物,1
异色鸟蛋,11397,命运菲尼克斯,5,5000,营养满分宠物食物,1
异色鸟蛋,11395,梦幻巴哈姆特,5,5000,营养满分宠物食物,1
异色鸟蛋,11398,真命运菲尼克斯,5,5000,营养满分宠物食物,1
异色鸟蛋,11396,真梦幻巴哈姆特,5,5000,营养满分宠物食物,1
异色鸟蛋,11389,粉红幸运蝙蝠猪,5,5000,营养满分宠物食物,1
异色鸟蛋,11390,粉红幼龙,5,5000,营养满分宠物食物,1
异色鸟蛋,11394,蓝色森德波特,5,5000,营养满分宠物食物,1
异色鸟蛋,11391,黄色庞克乌鸦,5,5000,营养满分宠物食物,1
异色鸟蛋,11392,黄色比翼鸳鸯,5,5000,营养满分宠物食物,1
异色鸟蛋,11388,黑色德古拉伯爵,5,5000,营养满分宠物食物,1
异色鸟蛋,11387,黑色热血青年蝙蝠,5,5000,营养满分宠物食物,1
异色鸟蛋,11393,黑色猫头鹰博士,5,5000,营养满分宠物食物,1
异色天蛋,11399,黑帝斯之蛋,1,70,一般宠物食物,2
异色天蛋,11400,血腥小婴儿,2,140,一般宠物食物,2
异色天蛋,11401,血腥少女,3,270,一般宠物食物,2
异色天蛋,11402,血腥淑女,4,530,营养满分宠物食物,1
异色天蛋,11404,真血腥女武神,5,5000,营养满分宠物食物,1
异色天蛋,11403,血腥女武神,5,5000,营养满分宠物食物,1
黑龙类,19568,黑龙之蛋,1,70,一般宠物食物,2
黑龙类,19569,露出脚的黑龙,2,140,一般宠物食物,2
黑龙类,19570,罩住头的黑龙,3,270,一般宠物食物,2
黑龙类,19571,小黑幼龙,4,530,营养满分宠物食物,1
黑龙类,19573,真‧尼德赫克,5,10000,营养满分宠物食物,1
黑龙类,19572,黑龙(尼德赫克),5,10000,营养满分宠物食物,1
黑龙类,23211,火焰古龙,6,10000,高级宠物食物,3
黑龙类,23212,金光古龙,6,10000,高级宠物食物,3
黑龙类,23210,黑暗古龙,6,10000,高级宠物食物,3
黑龙类,24836,回锅的黑龙(攻击),7,20400,高级宠物食物,4
黑龙类,26588,回锅的黑龙(攻击).G,7,33000,,
黑龙类,24848,回锅的黑龙(综合),7,20400,高级宠物食物,4
黑龙类,26600,回锅的黑龙(综合).G,7,33000,,
黑龙类,24842,回锅的黑龙(魔法),7,20400,高级宠物食物,4
黑龙类,26594,回锅的黑龙(魔法).G,7,33000,,
黑龙类,24837,真回锅的黑龙(攻击),7,20400,高级宠物食物,4
黑龙类,26589,真回锅的黑龙(攻击).G,7,33000,,
黑龙类,24849,真回锅的黑龙(综合),7,20400,高级宠物食物,4
黑龙类,26601,真回锅的黑龙(综合).G,7,33000,,
黑龙类,24843,真回锅的黑龙(魔法),7,20400,高级宠物食物,4
黑龙类,26595,真回锅的黑龙(魔法).G,7,33000,,
曼德拉,20252,曼德拉种子,1,70,一般宠物食物,2
曼德拉,20253,曼德拉幼苗,2,140,一般宠物食物,2
曼德拉,20254,幼年曼德拉古拉,3,270,一般宠物食物,2
曼德拉,20255,思春期曼德拉古拉,4,530,营养满分宠物食物,1
曼德拉,20256,曼德拉古拉,5,10000,营养满分宠物食物,1
曼德拉,20257,真曼德拉古拉,5,10000,营养满分宠物食物,1
曼德拉,23215,粉红曼德拉,6,10000,高级宠物食物,3
曼德拉,23214,纯白色曼德拉,6,10000,高级宠物食物,3
曼德拉,23213,黑色曼德拉,6,10000,高级宠物食物,3
曼德拉,24838,甜美香气曼德拉(攻击),7,20400,高级宠物食物,4
曼德拉,26590,甜美香气曼德拉(攻击).G,7,33000,,
曼德拉,24850,甜美香气曼德拉(综合),7,20400,高级宠物食物,4
曼德拉,26602,甜美香气曼德拉(综合).G,7,33000,,
曼德拉,24844,甜美香气曼德拉(魔法),7,20400,高级宠物食物,4
曼德拉,26596,甜美香气曼德拉(魔法).G,7,33000,,
曼德拉,24839,真甜美香气曼德拉(攻击),7,20400,高级宠物食物,4
曼德拉,26591,真甜美香气曼德拉(攻击).G,7,33000,,
曼德拉,24851,真甜美香气曼德拉(综合),7,20400,高级宠物食物,4
曼德拉,26603,真甜美香气曼德拉(综合).G,7,33000,,
曼德拉,24845,真甜美香气曼德拉(魔法),7,20400,高级宠物食物,4
曼德拉,26597,真甜美香气曼德拉(魔法).G,7,33000,,
三尾狐,20651,露出尾巴的一尾狐,1,70,一般宠物食物,2
三尾狐,20652,燃烧的一尾狐,2,140,一般宠物食物,2
三尾狐,20653,小巧玲珑的一尾狐,3,270,一般宠物食物,2
三尾狐,20654,威风凛凛的三尾狐,4,530,营养满分宠物食物,1
三尾狐,20655,倾国倾城三尾狐,5,10000,营养满分宠物食物,1
三尾狐,20656,真倾国倾城三尾狐,5,10000,营养满分宠物食物,1
三尾狐,23209,火狐三尾,6,10000,高级宠物食物,3
三尾狐,23208,红火三尾,6,10000,高级宠物食物,3
三尾狐,23207,鬼火三尾,6,10000,高级宠物食物,3
三尾狐,24840,少女偶像三尾(攻击),7,20400,高级宠物食物,4
三尾狐,26592,少女偶像三尾(攻击).G,7,33000,,
三尾狐,24852,少女偶像三尾(综合),7,20400,高级宠物食物,4
三尾狐,26604,少女偶像三尾(综合).G,7,33000,,
三尾狐,24846,少女偶像三尾(魔法),7,20400,高级宠物食物,4
三尾狐,26598,少女偶像三尾(魔法).G,7,33000,,
三尾狐,24841,真月光天使三尾(攻击),7,20400,高级宠物食物,4
三尾狐,26593,真月光天使三尾(攻击).G,7,33000,,
三尾狐,24853,真月光天使三尾(综合),7,20400,高级宠物食物,4
三尾狐,26605,真月光天使三尾(综合).G,7,33000,,
三尾狐,24847,真月光天使三尾(魔法),7,20400,高级宠物食物,4
三尾狐,26599,真月光天使三尾(魔法).G,7,33000,,
